,TF
0,Hoxa9
1,Zfp128
2,Zfp853
3,Nr1h2
4,Nr1h3
5,Nr1h4
6,Nr1h5
7,Nr1i2
8,Nr1i3
9,Nr2f1
10,Nr2f6
11,Rara
12,Rarb
13,Rarg
14,Rxra
15,Rxrb
16,Rxrg
17,Thra
18,Thrb
19,Vdr
20,Egr1
21,Ehf
22,Elf1
23,Elf2
24,Elf3
25,Elf4
26,Elf5
27,Elk3
28,Erf
29,Etv3
30,Gabpa
31,Gm4881
32,Rora
33,Rorb
34,Rorc
35,Nfkb1
36,Nfkb2
37,Rel
38,Rela
39,Relb
40,Stat1
41,Stat2
42,Stat3
43,Stat4
44,Stat5a
45,Stat5b
46,Stat6
47,Rbpj
48,Rbpjl
49,Tfam
50,Hoxa3
51,Hoxa5
52,Hoxa6
53,Hoxa7
54,Hoxb6
55,Hoxb7
56,Hoxc6
57,Dmbx1
58,Otx1
59,Otx2
60,Foxf1
61,Foxf2
62,T
63,Tbx19
64,Cdx1
65,Cdx2
66,Cdx4
67,Foxc1
68,Foxc2
69,Foxs1
70,Dmrta1
71,Dmrta2
72,Emx1
73,Emx2
74,Alx3
75,Arx
76,En1
77,En2
78,Gbx1
79,Gbx2
80,Gsx2
81,Hoxa1
82,Hoxb2
83,Hoxd3
84,Lhx1
85,Lhx2
86,Lhx3
87,Lhx4
88,Lhx5
89,Lhx6
90,Lhx8
91,Lhx9
92,Noto
93,Otp
94,Pdx1
95,Prop1
96,Prrx2
97,Prrxl1
98,Vax2
99,Vsx2
100,Snai1
101,Snai2
102,Snai3
103,Tcf3
104,Evx1
105,Evx2
106,Hoxb3
107,Hoxb4
108,Hoxb5
109,Gcm1
110,Gcm2
111,Grhl1
112,Grhl2
113,Grhl3
114,Zfp513
115,Irx1
116,Irx2
117,Irx3
118,Irx4
119,Irx5
120,Irx6
121,Crx
122,Gsc
123,Gsc2
124,Ovol1
125,Ovol2
126,Ovol3
127,Lef1
128,Tcf7
129,Tcf7l1
130,Tcf7l2
131,Yy1
132,Yy2
133,Gata1
134,Gata2
135,Gata3
136,Gata4
137,Gata5
138,Gata6
139,Pax3
140,Pax6
141,Pax7
142,Prox1
143,Prox2
144,Arid3c
145,Tead1
146,Tead2
147,Tead3
148,Tead4
149,Hivep1
150,Hivep2
151,Hivep3
152,Zfp831
153,Pold2
154,Trps1
155,Nkx2-5
156,Nkx2-9
157,AW822073
158,Duxf3
159,Nr2e1
160,Nkx2-1
161,Nkx2-2
162,Nkx2-3
163,Nkx2-4
164,Nkx2-6
165,Bcl6b
166,Zscan26
167,Mtf1
168,Klf9
169,Zic5
170,Zfp410
171,Zfp3
172,Zfp691
173,Zfp637
174,Egr2
175,Egr3
176,Egr4
177,Wt1
178,Kdm4a
179,Kdm4b
180,Kdm4c
181,Kdm4d
182,Gtf3a
183,Zxdb
184,Zxdc
185,Gm14443
186,Zfp61
187,Zfp93
188,Zfp94
189,Zfp108
190,Zfp109
191,Zfp111
192,Zfp112
193,Zfp114
194,Zfp235
195,Zfp239
196,Zfp433
197,Zfp664
198,Setdb1
199,Six5
200,Zfp143
201,Zfp523
202,Zfp354c
203,Gm12845
204,Klf17
205,Zfp352
206,Klf12
207,Zic2
208,Zfp110
209,Zfp369
210,Sp2
211,Brf2
212,Ezh2
213,Fos
214,Irf1
215,Mxi1
216,Nfyb
217,Rad21
218,Sp1
219,Zbtb7a
220,Zfp319
221,Irf2
222,Irf3
223,Irf4
224,Irf5
225,Irf6
226,Irf7
227,Irf8
228,Irf9
229,Prdm1
230,Osr1
231,Osr2
232,Klf15
233,Sp3
234,Sp4
235,Fezf1
236,Fezf2
237,Cux1
238,Maz
239,Rcor1
240,Rest
241,Tbx15
242,Zfp35
243,Zfp160
244,Zfp189
245,Zfp281
246,Zfp612
247,Zfp712
248,Zfp740
249,Zfp950
250,Tmem33
251,Nr3c1
252,Zfp42
253,Zfp597
254,Gfi1
255,Gfi1b
256,Bcl6
257,Zbtb49
258,Zic1
259,Zic3
260,Zic4
261,Zfp282
262,Gm44973
263,Zfp524
264,Zscan4b
265,Zscan4c
266,Zscan4d
267,Zscan4e
268,Zscan4f
269,Zscan4-ps1
270,Zscan4-ps2
271,Zscan4-ps3
272,Klf2
273,Klf3
274,Klf4
275,Klf5
276,Klf6
277,Klf7
278,Klf8
279,Klf14
280,Sp5
281,Vezf1
282,Zbtb17
283,Zfp263
284,Zfp341
285,Zfp467
286,Taf1
287,Zmiz1
288,4921501E09Rik
289,Atf3
290,Kdm5a
291,Phf8
292,Hcfc1
293,Atf2
294,Atf4
295,Atf7
296,Creb1
297,Creb3
298,Creb5
299,Crem
300,Gm28047
301,Jdp2
302,Jund
303,Hmgb1
304,Hmgb2
305,Hmgb3
306,Hmgb4
307,Tfap2a
308,Tfap2b
309,Tfap2c
310,Tfap2d
311,Tfap2e
312,Pou4f3
313,Arid3a
314,Arid5b
315,Arid3b
316,Zfp846
317,Arid5a
318,Setbp1
319,Ctcf
320,Hoxc10
321,Mafk
322,Polr3g
323,Tbp
324,Ahctf1
325,Hmga2
326,Phf21a
327,Mlxip
328,Bmyc
329,Max
330,Myc
331,Sohlh2
332,E2f6
333,Mycn
334,Arnt
335,Arnt2
336,Arntl
337,Arntl2
338,Bhlhe40
339,Bhlhe41
340,Hes1
341,Hes2
342,Hes5
343,Hes6
344,Hes7
345,Mlx
346,Sirt6
347,Bach1
348,Clock
349,Helt
350,Hey1
351,Hey2
352,Heyl
353,Id1
354,Mios
355,Mitf
356,Mlxipl
357,Mnt
358,Mxd3
359,Mxd4
360,Nfe2
361,Npas2
362,Olig1
363,Olig2
364,Srebf1
365,Srebf2
366,Tcfl5
367,Tfe3
368,Tfeb
369,Tfec
370,Usf1
371,Usf2
372,Meis2
373,Myod1
374,Myog
375,Pknox1
376,Pknox2
377,Tgif1
378,Tgif2
379,Tgif2lx1
380,Tgif2lx2
381,Olig3
382,Tcf21
383,Ascl1
384,Hand1
385,Hand2
386,Mxd1
387,Myf5
388,Myf6
389,Nhlh1
390,Tal1
391,Tal2
392,Tcf12
393,Tcf4
394,Tff3
395,Tfap4
396,Atoh1
397,Atoh7
398,Bhlha15
399,Bhlhe22
400,Bhlhe23
401,Ferd3l
402,Mesp2
403,Msc
404,Neurod1
405,Neurod2
406,Neurog1
407,Neurog2
408,Twist2
409,Ascl2
410,Ptf1a
411,Mesp1
412,Id4
413,Lmo2
414,Zeb1
415,Id2
416,Msgn1
417,Neurog3
418,Atf6
419,Atf6b
420,Creb3l1
421,Creb3l2
422,Creb3l4
423,Figla
424,Nhlh2
425,Sap30
426,Atf1
427,Atf5
428,Batf3
429,E2f1
430,Fosb
431,Fosl1
432,Fosl2
433,Jun
434,Junb
435,Npdc1
436,Xbp1
437,Crebl2
438,Mafb
439,Maf
440,Mafa
441,Maff
442,Mafg
443,Cebpa
444,Cebpb
445,Cebpd
446,Cebpe
447,Cebpg
448,Dbp
449,Ep300
450,Hlf
451,Nfil3
452,Ppargc1a
453,Tef
454,Bach2
455,Nfe2l1
456,Nfe2l2
457,Nfe2l3
458,Nrl
459,E4f1
460,Rfx5
461,Crebzf
462,Cic
463,Ddit3
464,Gmeb2
465,Bcl3
466,Batf
467,Nfatc1
468,Klf16
469,Nfya
470,Sp6
471,Sp7
472,Sp8
473,Sp9
474,Glis2
475,Plagl1
476,Zscan10
477,E2f4
478,Klf13
479,Pbx3
480,Tfdp1
481,Zfp711
482,Zfp202
483,Klf10
484,Klf1
485,Klf11
486,Zbtb7b
487,Zkscan1
488,Mzf1
489,Zfp300
490,Zbtb1
491,Meis1
492,Meis3
493,Hic1
494,Hic2
495,Dnajc21
496,Zbtb14
497,Zbtb12
498,Zkscan5
499,Zfp105
500,Zscan20
501,Zbtb3
502,Zfx
503,Scrt1
504,Scrt2
505,Gli1
506,Gli2
507,Gli3
508,Glis1
509,Zfp622
510,Mecom
511,Prdm13
512,Prdm16
513,Glis3
514,Jazf1
515,Cux2
516,Onecut1
517,Onecut2
518,Onecut3
519,Kdm2b
520,Kmt2a
521,Dnmt1
522,Tet1
523,Mbd1
524,Dmrt2
525,Dmrt3
526,Dmrt1
527,Dmrtc2
528,E2f2
529,E2f3
530,Bcl11a
531,Ikzf1
532,Spi1
533,Spib
534,Spic
535,Tbl1xr1
536,Elk1
537,Elk4
538,Erg
539,Ets1
540,Ets2
541,Etv4
542,Etv6
543,Fev
544,Fli1
545,Gabpb1
546,Psmd12
547,Spdef
548,Etv1
549,Etv2
550,Etv5
551,Gm5454
552,Srf
553,Bclaf1
554,Pml
555,Foxd1
556,Foxd2
557,Foxd3
558,Foxd4
559,Foxg1
560,Foxi1
561,Foxi2
562,Foxi3
563,Foxj1
564,Foxj2
565,Foxj3
566,Foxk1
567,Foxk2
568,Foxl1
569,Foxl2
570,Foxn2
571,Foxn3
572,Foxo1
573,Foxo3
574,Foxo4
575,Foxo6
576,Foxp1
577,Foxp2
578,Foxp3
579,Foxp4
580,Foxq1
581,Gm43517
582,Gm5294
583,Foxa1
584,Foxa2
585,Foxa3
586,Foxb1
587,Ar
588,Foxh1
589,Hdac2
590,Mbd4
591,Nfic
592,Foxn1
593,Foxn4
594,Foxr1
595,Foxr2
596,Ccnt2
597,Hmgn3
598,Nr2f2
599,Smarca4
600,Smarcb1
601,Nkx1-1
602,Nkx1-2
603,Uncx
604,Lmx1a
605,Lmx1b
606,Hoxa4
607,Hoxc4
608,Hoxd4
609,Pitx1
610,Pitx2
611,Pitx3
612,Obox3
613,Lbx2
614,Pou4f2
615,Barhl1
616,Barhl2
617,Bsx
618,Dlx1
619,Dlx2
620,Dlx3
621,Dlx4
622,Dlx5
623,Hoxb1
624,Hoxd1
625,Meox2
626,Msx2
627,Msx3
628,Nkx6-1
629,Nkx6-2
630,Nobox
631,Vax1
632,Obox3-ps8
633,Six1
634,Six2
635,Six6
636,Dlx6
637,Gm28308
638,Gsx1
639,Hoxa2
640,Isx
641,Lbx1
642,Phox2a
643,Phox2b
644,Rax
645,Zfhx3
646,Obox5
647,Hoxa10
648,Hoxa11
649,Hoxc8
650,Hoxc9
651,Hoxd10
652,Alx1
653,Hoxb8
654,Alx4
655,Barx2
656,Esx1
657,Hesx1
658,Hoxc5
659,Msx1
660,Pax4
661,Pou3f2
662,Pou6f1
663,Prrx1
664,Shox2
665,Tlx2
666,Vsx1
667,Zfhx2
668,Duxbl1
669,Hoxc12
670,Hoxd11
671,Nkx3-1
672,Meox1
673,Sebox
674,Hoxb13
675,Hoxc11
676,Hoxd12
677,Mnx1
678,Pou1f1
679,Pou2f1
680,Pou3f1
681,Rhox6
682,Hoxd8
683,Nkx6-3
684,Pou4f1
685,Hoxa13
686,Hoxc13
687,Hoxd13
688,Zhx1
689,Mixl1
690,Traf4
691,Dbx1
692,Dbx2
693,Hlx
694,Isl1
695,Isl2
696,Tlx1
697,Tlx3
698,Nkx3-2
699,Hoxd9
700,Barx1
701,Nanog
702,Obox1
703,Obox6
704,Pou6f2
705,Hmbox1
706,Hnf1a
707,Hnf1b
708,Six4
709,Pou5f1
710,Pou2f2
711,Pou2f3
712,Hmx1
713,Hmx3
714,Hdx
715,Hoxb9
716,Pbx1
717,Six3
718,Pou3f3
719,Hmx2
720,Rhox11
721,Pou3f4
722,Homez
723,Sox14
724,Sox18
725,Sox6
726,Sox7
727,Sox8
728,Hsf1
729,Hsf2
730,Hsf3
731,Hsf4
732,Borcs8
733,Mef2b
734,Mef2c
735,Mef2d
736,Mef2a
737,Mecp2
738,Myb
739,Mybl1
740,Mybl2
741,Terf1
742,Terf2
743,Mypop
744,Prdm11
745,Snapc4
746,Myrf
747,Nr2c2
748,Nr2c1
749,Nr3c2
750,Ppard
751,Esr1
752,Hnf4a
753,Nr5a1
754,Esrra
755,Hnf4g
756,Esrrb
757,Esrrg
758,Nr5a2
759,Nr4a1
760,Nr4a2
761,Nr4a3
762,Ppara
763,Nr6a1
764,Pparg
765,Pax1
766,Pax2
767,Pax5
768,Pax8
769,Pax9
770,Nfatc2
771,Nfatc3
772,Nfatc4
773,Ilf2
774,Rfx1
775,Rfx2
776,Rfx3
777,Rfx4
778,Rfx7
779,Rfxap
780,Rfx6
781,Rfx8
782,Rfxank
783,Cnot4
784,Cbfb
785,Runx1
786,Runx2
787,Runx3
788,Gmeb1
789,Sp100
790,Sp110
791,Smad3
792,Sox2
793,Sox3
794,Sox4
795,Sox12
796,Smad1
797,Sox10
798,Sox11
799,Hbp1
800,Hmg20b
801,Bbx
802,Sox15
803,Sox21
804,Sox30
805,Sox5
806,Sry
807,Sox17
808,Sox13
809,Sox9
810,Eomes
811,Mga
812,Tbr1
813,Tbx1
814,Tbx2
815,Tbx3
816,Tbx4
817,Tbx5
818,Tbx6
819,Tbx10
820,Tbx18
821,Tbx20
822,Tbx21
823,Tbx22
824,Tbpl1
825,Tbpl2
826,Thap12
827,Mta3
828,Pgr
829,Nr2e3
830,Foxm1
831,Gm9833
832,Myef2
833,Nfyc
834,Pole3
835,Ybx1
836,Sin3a
837,Esr2
838,Nr1d1
839,Rreb1
840,Patz1
841,Thap1
842,Trp53
843,Trp63
844,Trp73
845,Hltf
846,Spz1
847,Zfp423
848,Hinfp
849,Brca1
850,Ctcfl
851,Smc3
852,Zfp64
853,Tfcp2
854,Tfcp2l1
855,Ubp1
856,Ebf1
857,Insm1
858,Plag1
859,Mkx
860,Hhex
861,Deaf1
862,Cers2
863,Cers3
864,Cers4
865,Cers5
866,Cers6
867,Pbx4
868,Twist1
869,Pole4
870,Zbtb40
871,Zfp266
872,Zfp426
873,Zfp560
874,E2f7
875,Trim28
876,Smarcc1
877,Nrf1
878,Supt20
879,Il21
880,Chd2
881,Zbtb33
882,Smad5
883,Smad9
884,Tfdp2
885,Cebpz
886,Cpeb1
887,Zfp384
888,Nr0b1
889,Hsf5
890,Acaa1a
891,Acaa1b
892,Agmat
893,Arg1
894,Arg2
895,Gm10093
896,Hdac1
897,Hdac3
898,Ahr
899,Aire
900,Gtf2ird1
901,Ctnnb1
902,Bnc1
903,Brf1
904,Zfp148
905,Cdc5l
906,Cnot3
907,Ebf2
908,Sall4
909,E2f5
910,E2f8
911,Rb1
912,Ebf4
913,Ebf3
914,Bptf
915,Gm29609
916,Gtf3c2
917,Gzf1
918,Ikzf2
919,Hif1a
920,Epas1
921,Hmga1
922,Hmga1-rs1
923,Ikzf5
924,Ing4
925,Ltf
926,Topors
927,Hif3a
928,Mterf1a
929,Mterf1b
930,Nfia
931,Nfib
932,Nfat5
933,Pou2af1
934,Parp1
