,TF
935,Pbx2
936,Plagl2
937,Zbtb16
938,Polr3a
939,Nup133
940,Prdm12
941,Prdm15
942,Pura
943,Zbtb18
944,Sall1
945,Sall2
946,Satb1
947,Smad2
948,Smad4
949,Smad6
950,Smad7
951,Smarcc2
952,Gtf2b
953,Gtf2f1
954,Taf7
955,Trerf1
956,Zfp217
957,Zbtb11
958,Zbtb7c
959,Zfp628
960,Zfp1
961,Zfp182
962,Zfp697
963,Zfp2
964,Zbtb6
965,Zfp219
966,Zfp236
967,Zfp316
968,Zfp521
969,Zfp541
970,Zfp595
971,Zfp708
972,Mettl14
973,Zfp598
974,1810024B03Rik
975,4921509C19Rik
976,Gm10662
977,Gm10668
978,Gm14147
979,Gm14151
980,Gm4513
981,Gm4565
982,Gm4567
983,Gm4922
984,Gm5157
985,Gm5890
986,Gm5891
987,Gm6176
988,Gm6811
989,Gm6882
990,Gm6902
991,Gm7168
992,Gm7356
993,Nuak1
994,Nuak2
995,Prkaa1
996,Prkaa2
997,Smok2a
998,Smok2b
999,Smok3a
1000,Smok3b
1001,Smok3c
1002,Fbxl19
1003,Kdm2a
1004,Kdm7a
1005,Phf2
1006,Nags
1007,Yod1
1008,Mettl3
1009,Trim24
1010,Trim33
1011,Trim66
1012,BC005561
1013,Thoc2
1014,Zfp366
1015,Zfp710
1016,Chd1
1017,Zc3h11a
1018,Foxe1
1019,Nf1
1020,Nelfe
1021,Rbbp5
1022,Xrcc4
1023,Thap11
1024,Bdp1
1025,Atoh8
1026,Tcf23
1027,Tcf24
1028,Zfp358
1029,Zfp768
1030,Zfp362
1031,Scx
1032,Tcf15
1033,Zfp275
1034,Bnc2
1035,Mycl
1036,Mycs
1037,Ssrp1
1038,Ubtf
1039,Npas4
1040,Nr1d2
1041,Lcor
1042,Lcorl
1043,Zfp683
1044,Cpsf4
1045,Zfp821
1046,Ahrr
1047,Sim1
1048,Sim2
1049,Cenpb
1050,Rhox12
1051,Rhox13
1052,Foxb2
1053,Hsfy2
1054,Nfix
1055,Prdm4
1056,Pum3
1057,Sox1
1058,Zfp784
1059,Zfp652
1060,Cbx7
1061,Cxxc1
1062,Fubp1
1063,Mbd2
1064,Rab18
1065,Zfp444
1066,Zbtb4
1067,Kat2a
1068,Wrnip1
1069,Cbx3
1070,Ctbp2
1071,Kdm5b
1072,Hdac6
1073,Zfp729a
1074,Zfp729b
1075,2010315B03Rik
1076,2410141K09Rik
1077,5730507C01Rik
1078,AI987944
1079,AU041133
1080,AW146154
1081,Gm10324
1082,Gm10778
1083,Gm11007
1084,Gm14295
1085,Gm14305
1086,Gm14308
1087,Gm14322
1088,Gm14325
1089,Gm14326
1090,Gm14327
1091,Gm14391
1092,Gm14399
1093,Gm14403
1094,Gm14406
1095,Gm14410
1096,Gm14412
1097,Gm14418
1098,Gm14419
1099,Gm14434
1100,Gm14444
1101,Gm15446
1102,Gm17655
1103,Gm2004
1104,Gm2007
1105,Gm2026
1106,Gm20939
1107,Gm35315
1108,Gm3604
1109,Gm45871
1110,Gm4631
1111,Gm4724
1112,Gm4767
1113,Gm6710
1114,Gm6871
1115,Zfp119a
1116,Zfp119b
1117,Zfp120
1118,Zfp825
1119,Zfp866
1120,Zfp868
1121,Zfp869
1122,Zfp930
1123,Zfp931
1124,Zfp932
1125,Zfp933
1126,Zfp937
1127,Zfp938
1128,Zfp951
1129,Zfp958
1130,Zfp959
1131,Zfp960
1132,Zfp963
1133,Zfp964
1134,Zfp965
1135,Zfp966
1136,Zfp967
1137,Zfp968
1138,Zfp969
1139,Zfp970
1140,Zfp97
1141,Zfp971
1142,Zfp973
1143,Zfp975
1144,Zfp976
1145,Pgam2
1146,Suz12
1147,Zzz3
1148,Sall3
1149,Abcf2
1150,A1cf
1151,Aco1
1152,Adarb1
1153,Aff4
1154,Aggf1
1155,Akr1a1
1156,Zfp503
1157,Anxa1
1158,Anxa11
1159,Apex2
1160,Arfgap1
1161,Ascc1
1162,Aspscr1
1163,Aven
1164,Bad
1165,Gpank1
1166,Bax
1167,Boll
1168,Celf4
1169,Celf5
1170,Celf6
1171,Exo5
1172,Trmo
1173,2310011J03Rik
1174,Faap24
1175,Canx
1176,Cat
1177,Cbfa2t2
1178,Zfp830
1179,Ccdc25
1180,Cd59a
1181,Cd59b
1182,Cdk2ap1
1183,Gm12184
1184,Agap2
1185,Cfl2
1186,Ckmt1
1187,Clk1
1188,Cnot6
1189,Larp1
1190,Zfp647
1191,Nelfb
1192,Csnk2b
1193,Cstf2
1194,Cyb5r1
1195,Cycs
1196,Gm10053
1197,Dab2
1198,Dazap1
1199,Asap3
1200,Ddx4
1201,Ddx20
1202,Ddx43
1203,Dgcr8
1204,Dhx36
1205,Diablo
1206,Dis3
1207,Dnmt3a
1208,Dr1
1209,Dtl
1210,Dus3l
1211,Dusp22
1212,Dusp26
1213,Ecsit
1214,Edn1
1215,Eef1d
1216,Eif5a2
1217,Etfb
1218,Gm45233
1219,Ewsr1
1220,Exosc3
1221,Eef1akmt3
1222,Cxx1a
1223,Cxx1b
1224,Cxx1c
1225,Fez1
1226,Fgf15
1227,Fhl2
1228,Srrm3
1229,Gadd45a
1230,Git2
1231,Glyctk
1232,Got1
1233,Gpam
1234,Gpd1
1235,Grhpr
1236,Gtf2h3
1237,Gtf3c5
1238,Gtpbp1
1239,Gtpbp6
1240,H1fx
1241,H2afy
1242,Sema4a
1243,H2afz
1244,Hcfc2
1245,Hcls1
1246,Hdac8
1247,Hhat
1248,Ube2k
1249,Hirip3
1250,Hist2h2ab
1251,Hlcs
1252,Hmg20a
1253,Hnrnpa0
1254,Hnrnpc
1255,Hnrnph3
1256,Hnrnpll
1257,Hp1bp3
1258,Hspa1l
1259,Hspa5
1260,Htatip2
1261,Il24
1262,Ing3
1263,Ivd
1264,Kdm5d
1265,Kcnip1
1266,2810403A07Rik
1267,Kif22
1268,Larp4
1269,Las1l
1270,Ubxn1
1271,Lrrfip1
1272,Lsm6
1273,Luzp1
1274,Luzp2
1275,1700080O16Rik
1276,3830417A13Rik
1277,Magea1
1278,Magea2
1279,Magea3
1280,Magea4
1281,Magea5
1282,Magea6
1283,Magea8
1284,Magea10
1285,Magoh
1286,Map4k2
1287,Mapk1
1288,Mbtps2
1289,Mctp2
1290,Mdm2
1291,Cptp
1292,Rbm42
1293,Wdr83
1294,Morn1
1295,Mrpl1
1296,Mrpl2
1297,Mrps25
1298,Msi1
1299,Msi2
1300,Msra
1301,Msrb3
1302,Mthfd1
1303,Mylk
1304,Nanos1
1305,Nap1l1
1306,Ncald
1307,Ncbp2
1308,Nme1
1309,Nmi
1310,Nmral1
1311,Nnt
1312,Noc2l
1313,Gar1
1314,Nono
1315,Nucb1
1316,Nup107
1317,Nxph3
1318,Odc1
1319,Otud4
1320,P4hb
1321,Paxip1
1322,Pck2
1323,Pdcd11
1324,Pde6h
1325,Pdlim5
1326,Phlda2
1327,Phtf1
1328,Pick1
1329,Pik3c3
1330,Pir
1331,Pkm
1332,Plg
1333,Poli
1334,Ppp1r10
1335,Ppp2r3d
1336,Ppp5c
1337,Pqbp1
1338,Prdx5
1339,Prnp
1340,Psma6
1341,Psmc2
1342,Ptcd1
1343,Purg
1344,R3hdm2
1345,Rab2a
1346,Rab7
1347,Rab14
1348,1700009N14Rik
1349,Ran
1350,Rbbp9
1351,Rbm3
1352,Rbm7
1353,Rbm8a2
1354,Rbfox2
1355,Rbm17
1356,Rbm22
1357,Esrp1
1358,Esrp2
1359,Rbms1
1360,Rfc2
1361,Rfc3
1362,Mex3c
1363,Rnaseh2c
1364,Rnf138
1365,Rpl6
1366,Gm2000
1367,Gm8444
1368,Gm10269
1369,Rpl35
1370,Rpp25
1371,Rps4x
1372,Rps6ka5
1373,Rps10
1374,Rufy3
1375,Ruvbl1
1376,Pds5a
1377,Scmh1
1378,Sf1
1379,Sf3b1
1380,Gm12166
1381,Sft2d1
1382,Slc18a1
1383,Smap2
1384,Mief1
1385,Smpx
1386,Smug1
1387,Snapc5
1388,Snd1
1389,Snrnp70
1390,Snrpb2
1391,Socs4
1392,Sod1
1393,Spag7
1394,Spats2
1395,Spr
1396,Srbd1
1397,Srp9
1398,Ssbp3
1399,Gm5751
1400,Gm6592
1401,Gm14459
1402,Gm21876
1403,Ssx9
1404,Ssxa1
1405,Ssxb1
1406,Ssxb2
1407,Ssxb3
1408,Ssxb5
1409,Ssxb6
1410,Ssxb8
1411,Ssxb9
1412,Ssxb10
1413,Stau2
1414,Stub1
1415,Suclg1
1416,Taf1a
1417,Ak6
1418,Taf9
1419,Tagln2
1420,Tceal3
1421,Tceal5
1422,Tceal6
1423,Med30
1424,Tia1
1425,Timeless
1426,Timm8a1
1427,Timm8a2
1428,Timm44
1429,Tob2
1430,Tpi1
1431,Tppp
1432,Trim21
1433,Trim69
1434,Trip10
1435,Trmt1
1436,Trove2
1437,Tsc22d4
1438,Tsn
1439,Tsnax
1440,Tulp1
1441,U2af1
1442,Ube2v1
1443,Ugp2
1444,Uqcrb
1445,Usp39
1446,Utp18
1447,Vamp3
1448,Ezr
1449,Vps4b
1450,Nelfa
1451,Wisp2
1452,Xrcc1
1453,Yeats4
1454,Ywhae
1455,Ywhaz
1456,Zbtb25
1457,Zbtb43
1458,Zbtb46
1459,Zc3h7a
1460,Zcchc14
1461,Zcchc17
1462,Zdhhc5
1463,Zdhhc15
1464,Zhx3
1465,Zmat2
1466,Zmat4
1467,Zfp113
1468,Zfp131
1469,Zkscan8
1470,Zfp13
1471,Zfp207
1472,Rnf114
1473,Zfp326
1474,Zfp385a
1475,Zfp655
1476,Zfp706
1477,Zrsr1
1478,Zswim1
1479,Dmrtb1
1480,Zfp583
1481,Lyl1
1482,Mynn
1483,Zfp146
1484,Zfp260
1485,Gm3854
1486,Prdm14
1487,Prdm5
1488,Prdm6
1489,Prdm9
1490,Smarca1
1491,Smarca5
1492,Zkscan14
1493,Zfp324
1494,Zfp354a
1495,Zbtb48
1496,Zfp28
1497,Zfp57
1498,Zfp82
1499,Zfp317
1500,Zfp322a
1501,Zfp329
1502,Zfp335
1503,Zfp382
1504,Zfp46
1505,Zfp449
1506,Gm10770
1507,Zfp667
1508,Zfp770
1509,Zkscan6
1510,Zscan22
1511,Dmc1
1512,Adnp
1513,Zhx2
1514,Dmap1
1515,Ncor1
1516,Ncor2
1517,Gtf2a1
1518,Gtf2a2
1519,Gtf2i
1520,Bcl11b
1521,Dpf1
1522,Zbtb45
1523,Lin28b
1524,Mbnl2
1525,Skor1
1526,Skor2
1527,Xpa
1528,Zbtb2
1529,Zbtb20
1530,Zbtb22
1531,Zbtb26
1532,Zbtb32
1533,Zbtb37
1534,Zfp41
1535,Zfp12
1536,Zfp174
1537,Zfp276
1538,Zfp296
1539,Zfp568
1540,Zfp454
1541,Zfp580
1542,Zfp704
1543,Zfp771
1544,Zfp787
1545,Zscan5b
1546,Zscan29
1547,Churc1
1548,Klrg1
1549,Obox2
1550,Duxbl2
1551,Duxbl3
1552,Cphx1
1553,Gm38394
1554,Zbed6
1555,Zfp74
1556,Zbtb42
1557,Zfp536
1558,Zbtb5
1559,Foxe3
1560,Zfp688
1561,Zfp692
1562,Zfp800
1563,Rlf
1564,Zfp746
1565,Zfp672
1566,Zfp653
1567,Zfp579
1568,Zfp687
1569,Zfp445
1570,Adnp2
1571,Zbtb44
1572,D130040H23Rik
1573,Gm3055
1574,Zfp781
1575,Zfp438
1576,Zfp641
1577,Zfp91
1578,Zfp516
1579,Zscan18
1580,Insm2
1581,Zfp414
1582,Zfp654
1583,Zfp575
1584,Zbtb41
1585,Zfp639
1586,Aebp2
1587,Zfp212
1588,Gtf2a1l
1589,Zbtb8b
1590,Zfp661
1591,Ikzf3
1592,Zfp398
1593,Zfp280b
1594,Zfp526
1595,Zscan12
1596,Zfp777
1597,Zbtb34
1598,Ikzf4
1599,Zscan25
1600,Fiz1
1601,Zfp213
1602,Zfp92
1603,Zfp59
1604,Zfp607a
1605,Zfp607b
1606,Zfp626
1607,Zfp780b
1608,Zfp850
1609,Zfp974
1610,Zfp286
1611,Zfy1
1612,Zfp879
1613,Zfy2
1614,Zfp407
1615,Zfa-ps
1616,Zbtb24
1617,Zfp9
1618,Zscan21
1619,Zfp354b
1620,Zfp367
1621,Zik1
1622,Zfp648
1623,Zfp553
1624,Zfp37
1625,Zfp775
1626,Zfp574
1627,Zfp184
1628,Zfp689
1629,Zfp248
1630,Zfp872
1631,Zfp11
1632,Zfp24
1633,Zfp14
1634,Zfp408
1635,Zkscan17
1636,Zfp719
1637,Zfp819
1638,Zfp30
1639,Zfp180
1640,2610044O15Rik8
1641,3300002I08Rik
1642,6720489N17Rik
1643,9030624G23Rik
1644,B230307C23Rik
1645,Gm10130
1646,Gm10479
1647,Gm14288
1648,Gm14435
1649,Gm14440
1650,Zfp935
1651,Zfp961
1652,Zfp623
1653,Zfp442
1654,Zfp422
1655,Zfp39
1656,9130023H24Rik
1657,Zscan2
1658,D3Ertd254e
1659,Zfp386
1660,Zfp941
1661,Zfp169
1662,Zfp791
1663,Zfp69
1664,Zfp27
1665,Zfp790
1666,Zfp629
1667,Zfp551
1668,Zfp867
1669,Zfp786
1670,Zfp451
1671,Zfp668
1672,Zfp383
1673,Zfp62
1674,Zfp90
1675,Zfp397
1676,Zkscan16
1677,Zfp420
1678,Zfp707
1679,Zfp606
1680,Zkscan3
1681,Zkscan4
1682,Zfp566
1683,9130019O22Rik
1684,E430018J23Rik
1685,Zfp747
1686,Zfp764
1687,Zfp287
1688,Zfp558
1689,Zfp949
1690,Zfp251
1691,Gm13212
1692,Zfp760
1693,Zfp334
1694,Zkscan7
1695,Rbak
1696,Prdm10
1697,Zfp651
1698,Zbtb39
1699,Zfpm1
1700,Zfp646
1701,Zfp507
1702,Zfp280d
1703,Peg3
1704,Zbtb38
1705,Zfp592
1706,Zfp532
1707,Apex1
1708,Ctbp1
1709,Banp
1710,Crtc2
1711,Carf
1712,Dnttip1
1713,Sfpq
1714,Lin28a
1715,Ash2l
1716,Vps72
1717,Zdhhc24
1718,Abl1
1719,Fank1
1720,Zeb2
